CapitalName,CapitalLatitude,CapitalLongitude
Riga,56.9496,24.1052
Daugavpils,55.8833,26.5333
Liepaja,56.5047,21.0108
Jelgava,56.6528,23.7128
Jurmala,56.9475,23.6169
Ventspils,57.3894,21.5606
Rezekne,56.5097,27.3244
Valmiera,57.5411,25.4270
Ogre,56.8111,24.6147
Tukums,56.9675,23.1552
Madona,56.8536,26.2169
Cesis,57.3128,25.2744
Salaspils,56.8611,24.3494
Kuldiga,56.9686,21.9686
Bauska,56.4075,24.1944
Limbazi,57.5108,24.7222
Kraslava,55.8958,27.1658
Sigulda,57.1539,24.8617
Aizkraukle,56.6083,25.2706
Gulbene,57.1739,26.7511
Balvi,57.1292,27.2647
Preili,56.2944,26.7267
Saldus,56.6667,22.5000
Valka,57.7750,26.0139
Smiltene,57.4242,25.8992
Aizpute,56.7253,21.6056
Dobele,56.6242,23.2783
Kandava,57.0392,22.7667
Livani,56.3494,26.1806
Aluksne,57.4167,27.0500
Ludza,56.5494,27.7189
Jaunjelgava,56.6072,25.0833
Viesite,56.3464,25.5472
Ergli,56.8961,25.6361
Plavinas,56.6083,25.7192
Rujiena,57.8833,25.3167
Broceni,56.6833,22.5333
Saulkrasti,57.2625,24.4181
Koknese,56.6517,25.4364
Stende,57.1183,22.0506
Pavilosta,56.8883,21.1847
Subate,56.0056,26.7117
Marupe,56.8733,24.0058
Varaklani,57.7639,27.0489
Ragana,57.1728,25.8164
Zilupe,56.3994,28.1219
Mazsalaca,57.9361,25.0906
Vilaka,57.1847,27.6692
Aloja,57.7639,24.8775
Auce,56.4500,22.8667
Roja,57.5011,22.8083
Cesvaine,57.3064,26.2889
Mersrags,57.3461,23.1294
Alsunga,56.9778,21.5619
Varaklani,57.7639,27.0489
Rugaji,57.0053,27.1503
Lielvarde,56.7225,24.8058
Aglona,56.1311,27.0103
Priekuli,57.3333,25.3667
Vainode,56.3119,21.8594
Engure,57.2350,23.2225
Malpils,57.0172,24.9569
Pilsrundale,56.3542,24.1894
Lielvarde,56.7225,24.8058
Aizkraukle,56.6083,25.2706
Alsunga,56.9778,21.5619
Aloja,57.7639,24.8775
Baldone,56.7436,24.3925
Carnikava,57.1456,24.2786
Engure,57.2350,23.2225
Ikskile,56.8364,24.5286
Kekava,56.8278,24.2369
Lielvarde,56.7225,24.8058
Olaine,56.7856,23.9386
Salacgriva,57.7531,24.3533
Saulkrasti,57.2617,24.4186
Skrunda,56.6817,22.0164
Talsi,57.2456,22.5886
Tervete,56.5486,23.2619

