city,lat,lng
Riga,56.9489,24.1064
Daugavpils,55.8750,26.5356
Liepaja,56.5117,21.0139
Jelgava,56.6483,23.7139
Jurmala,56.9681,23.7703
Ventspils,57.3906,21.5733
Rezekne,56.5127,27.3427
Ogre,56.8186,24.6056
Valmiera,57.5500,25.4000
Jekabpils,56.4994,25.8783
Salaspils,56.8667,24.3500
Marupe,56.9069,24.0583
Tukums,56.9667,23.1500
Cesis,57.3167,25.2667
Sigulda,57.1500,24.8667
Olaine,56.7833,23.9333
Kuldiga,56.9667,21.9667
Bauska,56.4083,24.1931
Saldus,56.6667,22.5000
Talsi,57.2444,22.5867
Dobele,56.6167,23.2667
Adazi,57.0667,24.3333
Ludza,56.5500,27.7167
Iksķile,56.8167,24.4833
Kraslava,55.8833,27.1667
Aizkraukle,56.6042,25.2539
Livani,56.3667,26.1833
Gulbene,57.1667,26.7500
Limbazi,57.5167,24.7167
Balozi,56.8667,24.1167
Madona,56.8500,26.2167
Aluksne,57.4167,27.0500
Preili,56.3000,26.7167
Lielvarde,56.7225,24.8050
Balvi,57.1333,27.2500
Iecava,56.6000,24.2000
Ķekava,56.8333,24.2333
Smiltene,57.4333,25.9000
Carnikava,57.1333,24.2833
Valka,57.7667,26.0000
Ozolnieki,56.6908,23.7879
Aizpute,56.7167,21.6000
Piņķi,56.9444,23.9108
Baldone,56.7417,24.3933
Grobiņa,56.5375,21.1675
Jaunolaine,56.8006,23.9814
Kandava,57.0333,22.7500
Jaunmarupe,56.8764,23.9358
Vangazi,57.0925,24.5464
Dreiliņi,56.9433,24.2469
Saulkrasti,57.2500,24.4167
Ulbroka,56.9333,24.2833
Plaviņas,56.6000,25.7167
Broceni,56.6667,22.5667
Vilani,56.5519,26.9272
Rujiena,57.8972,25.3259
Koknese,56.6384,25.4196
Salacgriva,57.7500,24.3500
Skriveri,56.6467,25.1222
Katlakalns,56.8744,24.1808
Kadaga,57.1000,24.3667
Auce,56.4500,22.8833
Liepa,57.3864,25.4231
Priekuli,57.3142,25.3597
Ilukste,55.9667,26.2833
Roja,57.5058,22.8019
Ķegums,56.7333,24.7000
Garkalne,57.0500,24.4278
Inčukalns,57.0964,24.6875
Vecumnieki,56.6064,24.5222
Zvejniekciems,57.3169,24.4156
Karsava,56.7833,27.6667
Peltes,57.1492,24.8917
Skrunda,56.6667,22.0000
Dagda,56.0833,27.5333
Priekule,56.4500,21.5833
Sauriesi,56.9167,24.3667
Malpils,57.0106,24.9597
Jaunjelgava,56.6000,25.0833
Varaklani,56.6000,26.7500
Kalnciems,56.8006,23.6097
ergli,56.8975,25.6375
Ropazi,56.9718,24.6318
Medemciems,56.8594,24.0717
Tiraine,56.8878,24.0694
Eleja,56.4067,23.6875
Vaiņode,56.4153,21.8511
Stende,57.1333,22.5167
Viesite,56.3500,25.5500
Ogresgals,56.8061,24.7436
Lubana,56.9000,26.7167
Dundaga,57.5167,22.3500
Garciems,57.1028,24.2053
Mezares,56.9754,23.9685
Ramava,56.8875,24.1578
Augsligatne,57.1869,25.0361
Engure,57.1607,23.2246
Sala,56.5042,25.7622
Sabile,57.0500,22.5833
ane,56.6471,23.8123
Mersrags,57.3333,23.1167
Zilupe,56.3833,28.1167
Gauja,57.1403,24.2858
Upeslejas,56.9242,24.3831
Lapmezciems,56.9994,23.5161
Babite,56.9567,23.9472
Upesciems,56.9819,24.3375
Silakrogs,56.9639,24.4292
Saulkalne,56.8444,24.4325
Cesvaine,56.9667,26.3167
Ritausmas,56.3814,24.1708
Stunisi,56.8503,24.0492
Rauna,57.3322,25.6097
Vilaka,57.1667,27.6667
Ragana,57.1814,24.7097
Valdemarpils,57.3667,22.5833
Kalngale,57.0819,24.1599
Gardene,56.6500,23.2167
Skulte,56.9186,23.9489
Mazsalaca,57.8667,25.0500
Seda,57.6333,25.7500
Aloja,57.7667,24.8667
Brankas,56.6827,23.8372
Lociki,55.9392,26.6478
Liči,56.9492,24.3564
Jumprava,56.6756,24.9725
Ligatne,57.2333,25.0500
Akniste,56.1500,25.7333
Nereta,56.2044,25.3078
